epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7941,1.71977,2.92876,1.38003,0.0131,0.53398,0.1846,0.09961,1.32321,3.37927,1.02982,0.000463798,0.000463798,0.000463798
2,137.301,1.37649,1.60885,1.09792,0.79042,0.04742,0.24276,0.13343,1.27444,2.94334,1.06447,0.000909107,0.000909107,0.000909107
3,203.805,1.32574,1.40008,1.10705,0.38387,0.11863,0.14743,0.09294,1.25191,2.23207,1.10359,0.00132298,0.00132298,0.00132298
4,275.576,1.2528,1.30094,1.08398,0.42674,0.19043,0.19439,0.11487,1.22125,1.58156,1.07326,0.00128753,0.00128753,0.00128753
5,354.165,1.27032,1.18913,1.07399,0.77807,0.18086,0.19684,0.11811,1.23024,1.46217,1.07498,0.00124037,0.00124037,0.00124037
6,424.611,1.21733,1.12499,1.04409,0.42344,0.25115,0.23927,0.14948,1.19839,1.30323,1.05061,0.00119322,0.00119322,0.00119322
7,505.163,1.21798,1.05437,1.0561,0.40398,0.16782,0.18512,0.11542,1.16334,1.16437,1.03636,0.00114606,0.00114606,0.00114606
8,584.482,1.17311,0.96612,1.0458,0.72311,0.18136,0.19814,0.13267,1.11757,1.14337,1.03938,0.0010989,0.0010989,0.0010989
9,664.185,1.17914,0.9917,1.03926,0.50038,0.23019,0.21208,0.13451,1.13992,1.05573,1.03797,0.00105174,0.00105174,0.00105174
10,749.61,1.15358,0.93372,1.03196,0.61154,0.1547,0.17811,0.11535,1.14506,0.98067,1.03317,0.00100459,0.00100459,0.00100459
11,834.463,1.12296,0.86329,1.01757,0.79896,0.23059,0.25119,0.1535,1.20278,0.99372,1.05768,0.00095743,0.00095743,0.00095743
12,919.668,1.13399,0.89431,1.02367,0.5927,0.22655,0.23243,0.15223,1.07606,0.93745,0.996,0.000910273,0.000910273,0.000910273
13,1013.87,1.11429,0.83638,1.01837,0.51702,0.22123,0.20234,0.13596,1.09941,0.85553,1.00436,0.000863116,0.000863116,0.000863116
14,1111.34,1.12224,0.82108,1.00693,0.53426,0.19155,0.19422,0.12575,1.1028,0.87353,0.99992,0.000815959,0.000815959,0.000815959
15,1221.07,1.08637,0.76887,0.98902,0.68818,0.25915,0.26577,0.17183,1.09006,0.80809,0.99553,0.000768802,0.000768802,0.000768802
16,1327.79,1.07611,0.75949,0.98683,0.58109,0.24528,0.23858,0.15482,1.0747,0.76981,0.99452,0.000721645,0.000721645,0.000721645
17,1446.17,1.06998,0.73457,0.99127,0.70578,0.19443,0.23186,0.15064,1.09374,0.80644,0.99117,0.000674488,0.000674488,0.000674488
18,1566.82,1.04416,0.73803,0.98546,0.43852,0.12955,0.14659,0.08787,1.06397,0.77606,0.99698,0.000627331,0.000627331,0.000627331
19,1713.04,1.08147,0.7512,1.00343,0.66533,0.20426,0.22346,0.15238,1.0787,0.73209,1.00012,0.000580174,0.000580174,0.000580174
20,1876.2,1.04617,0.71238,0.98158,0.62108,0.24717,0.24865,0.16476,1.04155,0.70415,0.97804,0.000533017,0.000533017,0.000533017
21,2029.02,1.03048,0.71527,0.97992,0.50148,0.17321,0.17975,0.11679,1.06426,0.74355,0.9913,0.00048586,0.00048586,0.00048586
22,2215.89,1.02516,0.68834,0.9705,0.72611,0.21742,0.25095,0.16949,1.06053,0.72362,0.97949,0.000438703,0.000438703,0.000438703
23,2396.51,1.01507,0.67474,0.96068,0.62514,0.19272,0.20577,0.13439,1.05979,0.70927,0.97906,0.000391546,0.000391546,0.000391546
24,2593.79,1.01927,0.66003,0.96688,0.72996,0.29334,0.32695,0.2195,1.05683,0.72333,0.9906,0.000344389,0.000344389,0.000344389
25,2833.26,0.99022,0.63932,0.95682,0.78383,0.2622,0.29353,0.20035,1.0486,0.69214,0.97239,0.000297232,0.000297232,0.000297232
26,3039.35,0.98432,0.62432,0.95351,0.86529,0.33134,0.36836,0.25194,1.02255,0.66167,0.96677,0.000250075,0.000250075,0.000250075
27,3221.65,0.98409,0.60873,0.9508,0.85103,0.3589,0.40118,0.26784,1.02211,0.6545,0.96689,0.000202918,0.000202918,0.000202918
28,3416.12,0.96581,0.59205,0.94667,0.83459,0.34799,0.39157,0.2758,1.00787,0.6353,0.96029,0.000155761,0.000155761,0.000155761
29,3629.05,0.9491,0.57926,0.94246,0.85756,0.35335,0.39708,0.27516,1.01546,0.63595,0.96004,0.000108604,0.000108604,0.000108604
30,3814.53,0.93842,0.58031,0.92825,0.84359,0.38123,0.43295,0.29211,1.01162,0.62935,0.96158,6.1447e-05,6.1447e-05,6.1447e-05
